"MatchNo","Team","Bowling","Overs","Maidens","Runs","Wickets","Econ","Dots","fours","Sixes","Wides","NoBalls"
"","","Mohammed Siraj","4","0","23","1","5.75","14","2","1","0","0"
"","","K Rabada","4","0","25","3","6.25","15","5","0","0","0"
"","","MJ Suthar","3","0","22","1","7.33","9","3","0","2","0"
"","","JO Holder","4","0","22","0","5.5","14","2","1","1","0"
"","","Arshad Khan","4","0","43","2","10.75","13","4","3","2","0"
"","","Rashid Khan","1","0","21","0","21","1","2","1","1","0"
"","","AJ Hosein","3.4","0","46","1","12.54","6","1","5","0","0"
"","","A Kamboj","3","0","16","0","5.33","10","1","1","0","0"
"","","J Overton","2","0","28","0","14","2","2","2","1","0"
"","","Gurjapneet Singh","3","0","36","0","12","1","3","2","0","0"
"","","Noor Ahmad","4","0","29","1","7.25","6","1","1","1","0"
"","","S Dube","1","0","7","0","7","2","1","0","0","0"
"","","Mohammed Shami","4","0","34","0","8.5","8","2","2","1","0"
"","","Mohsin Khan","4","1","23","5","5.75","14","2","1","1","0"
"","","Prince Yadav","4","0","24","0","6","10","2","0","3","0"
"","","DS Rathi","4","0","46","0","11.5","8","2","4","2","0"
"","","GF Linde","2","0","18","1","9","4","0","2","0","0"
"","","AK Markram","2","0","9","0","4.5","4","0","0","0","0"
"","","AS Roy","2","0","19","1","9.5","3","1","1","0","0"
"","","VG Arora","4","0","24","2","6","11","3","0","1","0"
"","","C Green","2","0","12","1","6","6","0","1","0","0"
"","","SP Narine","4","0","23","1","5.75","7","2","0","0","0"
"","","CV Varun","4","0","33","2","8.25","10","2","2","2","0"
"","","Kartik Tyagi","4","0","41","1","10.25","11","3","3","0","2"
"","","B Kumar","3","0","5","3","1.66","15","0","0","1","0"
"","","JR Hazlewood","3.3","0","12","4","3.42","15","2","0","0","0"
"","","Rasikh Salam","2","0","21","1","10.5","3","4","0","0","0"
"","","R Shepherd","2","0","21","0","10.5","3","2","1","0","0"
"","","Suyash Sharma","4","1","7","1","1.75","20","0","0","3","0"
"","","KH Pandya","2","0","9","1","4.5","4","0","0","0","0"
"","","KA Jamieson","3","0","42","1","14","6","3","4","0","0"
"","","PVD Chameera","2","0","18","0","9","5","2","1","0","0"
"","","AR Patel","1","0","5","0","5","1","0","0","0","0"
"","","T Natarajan","0.3","0","12","0","24","1","0","2","0","0"
"","","JC Archer","4","0","40","1","10","10","5","2","0","0"
"","","N Burger","4","0","59","1","14.75","4","7","3","0","0"
"","","Brijesh Sharma","4","0","42","0","10.5","7","4","2","1","0"
"","","Yash Raj Punja","4","0","41","2","10.25","6","1","4","0","0"
"","","RA Jadeja","4","0","32","0","8","3","1","1","0","0"
"","","Arshdeep Singh","4","0","68","1","17","6","8","5","1","0"
"","","LH Ferguson","4","0","57","0","14.25","7","6","4","1","0"
"","","M Jansen","3.2","0","41","0","12.3","4","3","3","1","0"
"","","Harpreet Brar","4","0","25","0","6.25","8","1","1","0","0"
"","","YS Chahal","4","0","36","3","9","7","3","1","1","1"
"","","PJ Cummins","4","0","39","0","9.75","5","6","0","1","0"
"","","PP Hinge","4","0","54","2","13.5","5","6","3","0","0"
"","","E Malinga","4","0","29","1","7.25","6","0","1","4","0"
"","","HS Dubey","3","0","50","0","16.66","4","3","5","0","0"
"","","Sakib Hussain","3","0","39","1","13","4","3","3","1","0"
"","","K Nitish Kumar Reddy","2","0","31","1","15.5","2","3","2","1","0"
"","","TA Boult","4","0","41","1","10.25","8","1","4","2","0"
"","","JJ Bumrah","4","0","54","0","13.5","6","3","5","2","0"
"","","WG Jacks","1","0","19","0","19","1","3","1","0","0"
"","","AM Ghazanfar","4","0","51","2","12.75","5","5","3","0","0"
"","","Ashwani Kumar","2","0","41","0","20.5","0","6","2","1","0"
"","","HH Pandya","3.4","0","39","1","10.63","7","2","3","3","0"
"","","Mohammed Siraj","4","0","38","1","9.5","12","5","2","0","0"
"","","K Rabada","4","0","44","1","11","10","8","1","1","0"
"","","JO Holder","4","0","29","2","7.25","8","2","1","0","0"
"","","Arshad Khan","3.2","0","22","3","6.6","11","2","1","1","0"
"","","Rashid Khan","4","0","19","2","4.75","15","0","2","0","0"
"","","B Kumar","4","0","28","3","7","11","3","1","0","0"
"","","JR Hazlewood","4","0","56","0","14","7","5","4","0","0"
"","","Suyash Sharma","3.5","0","44","1","11.47","5","4","2","2","0"
"","","R Shepherd","4","0","30","2","7.5","10","1","2","2","0"
"","","MA Starc","4","0","40","3","10","12","5","2","3","0"
"","","KA Jamieson","4","0","48","1","12","5","6","2","0","0"
"","","AR Patel","4","0","39","1","9.75","6","2","3","0","0"
"","","Kuldeep Yadav","4","0","41","0","10.25","4","1","3","0","0"
"","","T Natarajan","4","0","54","1","13.5","6","3","4","3","0"
"","","JC Archer","4","0","46","1","11.5","9","6","2","2","0"
"","","N Burger","3","0","41","0","13.66","7","3","4","0","0"
"","","TU Deshpande","4","0","38","1","9.5","7","3","1","3","0"
"","","Brijesh Sharma","3.1","0","35","0","11.05","3","4","0","2","1"
"","","Ravi Bishnoi","2","0","28","0","14","2","2","2","0","0"
"","","RA Jadeja","3","0","33","1","11","3","2","2","0","0"
"","","Mukesh Choudhary","3","0","25","0","8.33","10","0","3","0","0"
"","","A Kamboj","4","0","32","3","8","12","3","2","1","0"
"","","PR Veer","2","0","25","0","12.5","5","1","3","0","0"
"","","Noor Ahmad","4","0","26","2","6.5","9","2","1","0","0"
"","","RS Ghosh","3","0","24","1","8","6","4","0","0","0"
"","","J Overton","4","0","23","1","5.75","11","0","1","0","0"
"","","TA Boult","3.1","0","37","0","11.68","5","5","1","2","0"
"","","JJ Bumrah","3","0","20","1","6.66","9","3","0","1","0"
"","","Krish Bhagat","2","0","22","0","11","4","1","2","0","0"
"","","AM Ghazanfar","4","0","40","1","10","9","3","3","0","0"
"","","RS Sharma","4","0","24","0","6","6","1","0","0","0"
"","","HH Pandya","2","0","17","0","8.5","1","0","1","1","0"
"","","Mohammed Siraj","4","0","28","2","7","11","4","0","1","0"
"","","K Rabada","4","1","22","2","5.5","16","2","1","1","0"
"","","JO Holder","4","0","24","4","6","10","3","0","1","0"
"","","Arshad Khan","3","0","29","0","9.66","5","2","1","2","0"
"","","Rashid Khan","4","0","32","1","8","7","1","2","1","0"
"","","MJ Suthar","1","0","27","0","27","0","2","3","0","0"
"","","XC Bartlett","4","0","38","0","9.5","9","3","1","1","0"
"","","Arshdeep Singh","4","0","24","2","6","10","2","0","0","0"
"","","M Jansen","4","0","33","1","8.25","10","2","2","1","0"
"","","V Vyshak","4","0","31","2","7.75","6","2","1","0","0"
"","","MP Stoinis","2.5","0","26","1","9.17","4","2","1","1","0"
"","","YS Chahal","1","0","13","0","13","0","2","0","0","0"
"","","DL Chahar","4","0","43","0","10.75","5","1","3","2","0"
"","","JJ Bumrah","4","0","45","0","11.25","7","5","1","2","3"
"","","AM Ghazanfar","4","0","50","1","12.5","5","5","3","0","0"
"","","WG Jacks","2","0","34","1","17","2","1","4","1","0"
"","","C Bosch","2","0","20","2","10","5","0","2","1","1"
"","","RS Sharma","4","0","36","1","9","6","0","3","0","0"
"","","Mohammed Shami","4","0","53","1","13.25","6","5","4","0","0"
"","","Mohsin Khan","4","0","47","1","11.75","8","5","3","1","0"
"","","Prince Yadav","3","0","24","0","8","6","3","0","1","0"
"","","Avesh Khan","3.4","0","56","0","15.27","3","3","5","2","0"
"","","M Siddharth","4","0","47","2","11.75","5","1","5","0","0"
"","","AJ Hosein","4","0","19","1","4.75","14","3","0","0","0"
"","","Mukesh Choudhary","4","0","31","1","7.75","10","2","2","1","0"
"","","A Kamboj","4","0","49","0","12.25","7","2","5","0","0"
"","","Noor Ahmad","3","0","22","2","7.33","6","3","0","0","0"
"","","Gurjapneet Singh","4","0","29","1","7.25","7","0","2","1","0"
"","","J Overton","1","0","5","1","5","1","0","0","0","0"
"","","MA Starc","4","0","30","0","7.5","9","4","0","1","0"
"","","AR Patel","4","0","25","1","6.25","12","1","1","1","0"
"","","L Ngidi","4","0","30","1","7.5","12","2","2","1","0"
"","","Kuldeep Yadav","3","0","34","0","11.33","7","1","4","0","0"
"","","T Natarajan","2.3","0","39","0","15.6","4","4","3","0","0"
"","","Arshdeep Singh","4","0","43","1","10.75","6","2","3","1","0"
"","","M Jansen","4","0","61","0","15.25","4","4","5","2","0"
"","","LH Ferguson","4","0","41","1","10.25","9","1","4","1","0"
"","","YS Chahal","4","0","32","1","8","5","2","1","1","0"
"","","V Vyshak","4","0","54","1","13.5","3","3","4","0","0"
"","","PJ Cummins","4","0","34","2","8.5","10","2","2","0","1"
"","","K Nitish Kumar Reddy","2","0","11","1","5.5","4","1","0","0","0"
"","","E Malinga","4","0","36","1","9","11","2","3","1","0"
"","","Sakib Hussain","4","0","40","1","10","8","4","1","2","1"
"","","Shivang Kumar","4","0","45","2","11.25","8","3","3","2","0"
"","","HS Dubey","2","0","36","0","18","1","1","4","2","0"
"","","B Kumar","4","0","34","0","8.5","8","1","2","0","0"
"","","JR Hazlewood","4","0","49","1","12.25","9","5","3","3","0"
"","","KH Pandya","4","0","31","1","7.75","12","2","2","1","0"
"","","Rasikh Salam","4","0","53","1","13.25","5","6","3","1","0"
"","","Suyash Sharma","2","0","21","0","10.5","2","2","1","0","0"
"","","R Shepherd","1","0","16","0","16","2","2","1","0","0"
"","","Mohammed Shami","4","0","33","1","8.25","13","3","2","3","0"
"","","Prince Yadav","4","0","33","3","8.25","8","2","2","0","0"
"","","MP Yadav","4","0","50","0","12.5","8","2","5","1","0"
"","","DS Rathi","4","0","50","0","12.5","4","4","3","1","0"
"","","Shahbaz Ahmed","3","0","33","2","11","8","5","1","3","0"
"","","AS Roy","4","0","31","2","7.75","10","3","1","2","0"
"","","VG Arora","3","0","29","1","9.66","5","2","2","0","0"
"","","SP Narine","4","0","17","1","4.25","14","2","0","0","0"
"","","Kartik Tyagi","4","0","25","2","6.25","10","2","1","0","0"
"","","CV Varun","4","0","28","0","7","10","3","1","0","0"
"","","C Green","1","0","12","1","12","2","1","1","0","0"
"","","MA Starc","3","0","31","0","10.33","5","2","2","0","0"
"","","AR Patel","4","0","27","1","6.75","9","2","1","0","0"
"","","L Ngidi","2","0","7","0","3.5","5","0","0","0","0"
"","","V Nigam","2","0","34","0","17","1","1","4","0","0"
"","","Kuldeep Yadav","3","0","41","0","13.66","6","1","5","0","0"
"","","Mukesh Kumar","0.2","0","7","0","21","0","0","1","0","0"
"","","JC Archer","3","0","46","0","15.33","4","3","2","5","1"
"","","TU Deshpande","4","0","52","0","13","7","4","4","3","0"
"","","Brijesh Sharma","4","0","47","2","11.75","10","5","3","2","0"
"","","Yash Raj Punja","4","0","37","1","9.25","6","3","1","2","0"
"","","RA Jadeja","4","0","34","1","8.5","5","2","1","0","0"
"","","D Ferreira","1","0","11","0","11","1","2","0","0","0"
"","","Mohammed Siraj","4","0","55","1","13.75","8","5","4","2","0"
"","","K Rabada","3","0","33","2","11","9","2","3","0","0"
"","","R Sai Kishore","1","0","8","0","8","1","1","0","0","0"
"","","Rashid Khan","4","0","33","4","8.25","12","3","2","0","0"
"","","Washington Sundar","2","0","10","0","5","6","1","0","0","0"
"","","JO Holder","2.3","0","12","3","4.8","8","1","0","0","0"
"","","AJ Hosein","4","0","49","0","12.25","4","6","2","0","0"
"","","Mukesh Choudhary","4","0","45","0","11.25","9","4","3","2","0"
"","","A Kamboj","4","0","47","2","11.75","8","2","4","1","1"
"","","Noor Ahmad","4","0","24","1","6","10","2","0","0","0"
"","","J Overton","4","0","36","3","9","11","3","2","2","0"
"","","Mohammed Shami","4","0","37","0","9.25","6","4","1","0","0"
"","","Prince Yadav","4","0","36","0","9","10","1","3","1","0"
"","","DS Rathi","4","0","45","2","11.25","7","2","4","1","0"
"","","Avesh Khan","4","0","44","1","11","9","0","5","4","0"
"","","Shahbaz Ahmed","3","0","30","2","10","3","3","1","0","0"
"","","AK Markram","0.2","0","14","0","42","0","0","2","2","0"
"","","B Kumar","4","0","23","4","5.75","12","3","0","1","0"
"","","JR Hazlewood","4","0","33","1","8.25","12","2","2","1","0"
"","","Rasikh Salam","4","0","42","1","10.5","6","6","0","0","0"
"","","R Shepherd","3","0","18","1","6","8","1","1","0","0"
"","","KH Pandya","3","0","26","0","8.66","1","0","1","1","0"
"","","Suyash Sharma","2","0","21","0","10.5","1","0","2","0","0"
"","","DL Chahar","4","0","33","2","8.25","10","4","1","2","0"
"","","JJ Bumrah","4","0","20","0","5","10","1","0","2","0"
"","","C Bosch","4","1","26","4","6.5","14","0","3","0","0"
"","","WG Jacks","2","0","13","0","6.5","3","1","0","1","0"
"","","AM Ghazanfar","3","0","33","1","11","4","1","3","0","0"
"","","RA Bawa","3","0","39","1","13","4","2","2","5","1"
"","","MA Starc","4","0","57","2","14.25","9","3","5","3","0"
"","","Auqib Nabi","4","0","32","0","8","10","3","1","0","2"
"","","L Ngidi","4","0","46","0","11.5","7","3","4","0","0"
"","","Mukesh Kumar","4","0","31","1","7.75","7","2","1","2","0"
"","","M Tiwari","4","0","40","2","10","9","4","2","2","0"
"","","Arshdeep Singh","4","0","21","2","5.25","14","2","0","2","0"
"","","Yash Thakur","4","0","55","2","13.75","8","5","3","1","1"
"","","M Jansen","4","0","45","0","11.25","8","6","2","1","0"
"","","BJ Dwarshuis","4","0","51","1","12.75","6","4","3","2","0"
"","","MP Stoinis","3","0","44","1","14.66","3","4","3","2","0"
"","","PJ Cummins","4","0","20","1","5","13","2","0","0","0"
"","","K Nitish Kumar Reddy","3","0","27","0","9","9","4","1","0","0"
"","","PP Hinge","3","0","17","2","5.66","10","3","0","0","0"
"","","E Malinga","4","0","46","0","11.5","4","4","2","1","0"
"","","Sakib Hussain","4","0","37","2","9.25","7","3","1","3","0"
"","","Shivang Kumar","2","0","19","0","9.5","2","2","0","2","0"
"","","Mohammed Siraj","3","1","11","1","3.66","13","2","0","0","0"
"","","K Rabada","4","0","28","3","7","13","2","2","0","0"
"","","JO Holder","4","0","20","3","5","15","3","0","1","0"
"","","M Prasidh Krishna","3","0","23","2","7.66","10","1","2","0","0"
"","","Rashid Khan","0.5","0","3","1","3.6","3","0","0","0","0"
"","","B Kumar","4","0","34","1","8.5","9","3","1","0","0"
"","","JA Duffy","4","0","48","0","12","9","6","3","0","0"
"","","JR Hazlewood","4","0","35","1","8.75","8","4","1","0","0"
"","","Rasikh Salam","4","0","35","1","8.75","6","5","0","1","0"
"","","KH Pandya","4","0","39","0","9.75","5","1","3","1","0"
"","","SR Dubey","2.1","0","21","0","9.69","6","3","1","0","0"
"","","VG Arora","4","0","48","0","12","4","8","0","2","0"
"","","Kartik Tyagi","4","0","32","3","8","11","2","2","1","0"
"","","SP Narine","4","0","31","1","7.75","8","3","1","0","0"
"","","C Green","2","0","22","0","11","0","2","0","1","0"
"","","AS Roy","3","0","36","0","12","3","3","1","5","0"
"","","DL Chahar","4","0","36","2","9","11","4","2","0","0"
"","","JJ Bumrah","4","0","35","0","8.75","9","5","0","2","0"
"","","SN Thakur","4","0","39","4","9.75","12","5","2","2","0"
"","","C Bosch","4","0","42","1","10.5","8","2","4","0","0"
"","","RS Sharma","2","0","22","0","11","5","0","3","0","0"
"","","WG Jacks","1","0","9","0","9","4","2","0","1","0"
"","","RA Bawa","1","0","11","1","11","3","0","1","2","0"
"","","Arshdeep Singh","4","0","29","0","7.25","10","3","1","1","0"
"","","Azmatullah Omarzai","4","0","36","2","9","8","1","3","1","0"
"","","M Jansen","4","0","55","1","13.75","4","5","4","0","0"
"","","XC Bartlett","3.5","0","53","0","13.82","9","3","6","0","0"
"","","YS Chahal","4","0","32","1","8","7","1","2","1","0"
"","","Mohammed Shami","4","0","41","1","10.25","8","6","1","1","0"
"","","Akash Singh","4","0","26","3","6.5","11","2","1","1","0"
"","","Prince Yadav","4","0","49","0","12.25","6","2","4","2","0"
"","","MP Yadav","4","0","26","0","6.5","12","3","0","3","0"
"","","Shahbaz Ahmed","4","0","45","1","11.25","5","3","3","0","0"
"","","Mukesh Choudhary","3","0","24","1","8","8","4","0","1","0"
"","","SH Johnson","4","0","39","1","9.75","12","3","3","2","0"
"","","A Kamboj","2.4","0","63","0","23.62","4","3","8","0","0"
"","","Noor Ahmad","4","0","21","0","5.25","8","0","1","0","0"
"","","Gurjapneet Singh","3","0","34","0","11.33","4","5","1","0","0"
"","","Mohammed Siraj","4","0","50","1","12.5","8","4","3","3","0"
"","","K Rabada","4","0","40","0","10","10","0","5","1","0"
"","","JO Holder","4","0","39","0","9.75","5","1","3","0","1"
"","","Rashid Khan","4","0","57","0","14.25","4","5","4","0","0"
"","","R Sai Kishore","3","0","38","1","12.66","5","1","4","0","0"
"","","Arshad Khan","1","0","22","0","22","2","1","3","0","0"
"","","SR Dubey","2.4","0","23","1","8.62","8","2","0","4","0"
"","","C Green","3","0","25","1","8.33","7","1","2","0","0"
"","","Kartik Tyagi","4","0","59","0","14.75","6","6","4","0","0"
"","","M Pathirana","1.2","0","9","0","6.75","4","1","0","2","0"
"","","SP Narine","4","0","29","2","7.25","11","1","2","0","0"
"","","CV Varun","4","0","47","0","11.75","3","4","2","1","0"
"","","AS Roy","1","0","17","0","17","2","1","2","0","0"
"","","Arshdeep Singh","4","0","43","1","10.75","4","4","2","1","0"
"","","Azmatullah Omarzai","4","0","38","0","9.5","8","5","1","1","0"
"","","Harpreet Brar","4","0","35","2","8.75","8","4","1","1","0"
"","","LH Ferguson","3","0","43","0","14.33","4","4","3","2","0"
"","","YS Chahal","3","0","42","1","14","4","2","4","0","1"
"","","Shashank Singh","2","0","20","0","10","2","1","1","0","0"
"","","B Kumar","4","0","38","2","9.5","10","4","2","1","0"
"","","JR Hazlewood","4","0","36","1","9","10","3","2","2","0"
"","","Rasikh Salam","4","0","36","3","9","12","5","1","3","0"
"","","Suyash Sharma","4","0","50","1","12.5","3","0","5","1","0"
"","","R Shepherd","1","0","8","1","8","2","1","0","0","0"
"","","KH Pandya","3","0","27","0","9","1","3","0","1","0"
"","","MA Starc","4","0","40","4","10","9","6","1","1","0"
"","","L Ngidi","4","0","24","2","6","15","1","2","0","0"
"","","T Vijay","2","0","29","0","14.5","2","3","2","0","0"
"","","Mukesh Kumar","2","0","40","0","20","2","3","4","1","0"
"","","M Tiwari","4","0","27","2","6.75","8","2","0","4","0"
"","","AR Patel","4","0","31","0","7.75","9","2","2","0","0"
"","","JC Archer","4","0","35","2","8.75","10","3","1","3","0"
"","","AF Milne","3.2","0","41","0","12.3","3","2","2","1","0"
"","","Brijesh Sharma","4","0","44","2","11","4","5","1","2","0"
"","","MD Shanaka","3","0","29","1","9.66","4","1","2","0","0"
"","","Yash Raj Punja","4","0","29","0","7.25","5","1","1","1","0"
"","","D Ferreira","1","0","16","0","16","0","0","2","0","0"
"","","K Nitish Kumar Reddy","2","0","35","0","17.5","1","4","2","1","1"
"","","PP Hinge","3","0","37","1","12.33","8","6","1","3","0"
"","","PJ Cummins","4","0","28","3","7","15","1","3","1","0"
"","","E Malinga","4","0","26","1","6.5","8","0","2","0","0"
"","","Sakib Hussain","4","0","34","2","8.5","12","4","1","3","0"
"","","Shivang Kumar","3","0","20","0","6.66","3","0","1","0","0"
"","","Mukesh Choudhary","4","0","36","2","9","9","4","1","3","0"
"","","SH Johnson","3","0","26","0","8.66","8","5","0","0","0"
"","","A Kamboj","4","0","46","1","11.5","6","3","3","1","0"
"","","Noor Ahmad","4","0","40","1","10","7","4","2","0","0"
"","","AJ Hosein","3","0","21","1","7","7","1","1","1","0"
"","","S Dube","1","0","12","0","12","1","2","0","1","0"
"","","JC Archer","4","0","39","1","9.75","10","6","1","0","0"
"","","SS Mishra","4","0","46","0","11.5","11","4","3","6","0"
"","","Sandeep Sharma","3","0","43","0","14.33","3","4","3","0","0"
"","","Brijesh Sharma","4","0","44","0","11","9","3","3","2","1"
"","","Yash Raj Punja","4","0","35","2","8.75","7","2","2","0","0"
"","","MD Shanaka","1","0","10","0","10","1","1","0","1","0"
"","","Akash Singh","3","0","54","1","18","7","8","2","5","0"
"","","Mohsin Khan","4","0","31","1","7.75","9","3","1","0","0"
"","","MP Yadav","4","0","50","0","12.5","10","3","5","0","0"
"","","Prince Yadav","4","0","43","0","10.75","9","2","4","1","0"
"","","DS Rathi","4","0","38","0","9.5","7","3","2","0","0"
"","","Shahbaz Ahmed","0.1","0","6","0","36","0","0","1","0","0"
"","","AS Roy","1","0","6","0","6","3","1","0","0","0"
"","","SR Dubey","4","0","34","2","8.5","14","4","2","2","0"
"","","C Green","3","0","23","2","7.66","9","3","1","0","0"
"","","Kartik Tyagi","4","0","37","2","9.25","10","3","2","0","0"
"","","SP Narine","4","0","13","1","3.25","16","0","1","0","0"
"","","CV Varun","4","0","28","0","7","8","0","2","1","0"
"","","DL Chahar","3","0","23","1","7.66","9","4","0","2","0"
"","","JJ Bumrah","4","0","26","1","6.5","11","4","0","1","0"
"","","C Bosch","3","0","30","3","10","7","4","1","0","1"
"","","AM Ghazanfar","4","0","25","1","6.25","8","1","1","0","0"
"","","HH Pandya","2","0","13","0","6.5","7","2","0","1","0"
"","","RS Sharma","2","0","23","0","11.5","1","4","0","0","0"
"","","WG Jacks","0.5","0","7","0","8.4","3","1","0","0","0"
"","","Mukesh Choudhary","4","0","36","1","9","9","3","2","0","0"
"","","SH Johnson","4","0","47","1","11.75","8","6","1","2","1"
"","","Gurjapneet Singh","4","0","31","0","7.75","7","1","1","4","0"
"","","A Kamboj","4","0","56","1","14","5","5","4","1","0"
"","","Noor Ahmad","3","0","41","0","13.66","4","1","4","1","0"
"","","S Dube","1","0","15","0","15","1","3","0","0","0"
"","","Mohammed Siraj","3","0","26","3","8.66","10","2","2","0","0"
"","","K Rabada","3.4","0","32","3","8.72","10","4","1","1","0"
"","","Arshad Khan","2","0","24","0","12","4","3","1","2","0"
"","","JO Holder","2","0","27","0","13.5","2","2","2","0","0"
"","","Rashid Khan","2","0","18","3","9","6","0","2","1","0"
"","","M Prasidh Krishna","1","0","13","0","13","1","1","1","0","0"
"","","B Kumar","4","0","51","0","12.75","5","6","2","2","0"
"","","JR Hazlewood","4","0","55","0","13.75","5","3","4","4","0"
"","","Rasikh Salam","4","0","52","2","13","6","8","1","3","0"
"","","Suyash Sharma","3","0","36","1","12","6","1","4","1","0"
"","","R Shepherd","3","0","37","0","12.33","2","2","2","2","0"
"","","KH Pandya","2","0","24","1","12","5","0","3","1","0"
"","","PJ Cummins","4","0","48","0","12","5","6","1","2","1"
"","","E Malinga","4","0","33","2","8.25","10","4","1","0","0"
"","","Shivang Kumar","2","0","32","0","16","3","2","3","1","0"
"","","Sakib Hussain","4","0","31","1","7.75","9","3","1","0","0"
"","","HV Patel","4","0","37","0","9.25","3","3","1","0","0"
"","","K Nitish Kumar Reddy","1","0","10","0","10","1","1","0","1","0"
"","","TM Head","1","0","7","1","7","2","1","0","0","0"
"","","Arshdeep Singh","3","0","52","0","17.33","5","8","2","4","0"
"","","Azmatullah Omarzai","3","0","29","1","9.66","7","2","2","1","0"
"","","M Jansen","4","0","33","2","8.25","11","3","2","1","0"
"","","YS Chahal","4","0","25","2","6.25","7","2","0","0","0"
"","","V Vyshak","3","0","26","0","8.66","5","2","1","1","0"
"","","Shashank Singh","3","0","29","1","9.66","5","3","1","1","0"
"","","Mohammed Shami","4","0","45","2","11.25","10","4","3","2","0"
"","","Prince Yadav","3","0","32","0","10.66","4","5","0","1","0"
"","","Mohsin Khan","4","0","48","0","12","3","5","2","0","0"
"","","DS Rathi","3","0","39","0","13","1","5","1","0","0"
"","","AS Tendulkar","4","0","36","1","9","6","4","1","0","0"
"","","DL Chahar","4","0","43","2","10.75","10","1","5","0","0"
"","","WG Jacks","2","0","12","1","6","7","0","1","2","0"
"","","AM Ghazanfar","3","0","45","1","15","4","4","3","1","0"
"","","RS Sharma","3","0","25","0","8.33","5","0","2","0","0"
"","","SN Thakur","4","0","41","2","10.25","7","3","2","0","2"
"","","C Bosch","4","0","38","1","9.5","6","2","2","1","0"
"","","JC Archer","4","0","17","3","4.25","13","2","0","0","0"
"","","N Burger","4","0","43","2","10.75","8","3","3","2","0"
"","","Brijesh Sharma","4","0","26","2","6.5","9","3","0","0","1"
"","","RA Jadeja","2","0","24","0","12","2","1","2","0","0"
"","","Yash Raj Punja","4","0","44","2","11","7","0","5","1","0"
"","","MD Shanaka","2","0","21","0","10.5","3","3","0","1","0"
"","","AS Roy","2","0","23","1","11.5","3","4","0","2","0"
"","","SR Dubey","4","0","28","2","7","13","1","2","4","0"
"","","C Green","2","0","21","0","10.5","3","2","1","0","0"
"","","Kartik Tyagi","4","0","55","0","13.75","5","6","3","0","1"
"","","SP Narine","4","0","38","1","9.5","8","2","3","0","0"
"","","CV Varun","4","0","35","1","8.75","8","2","2","2","0"
"","","MA Starc","3","0","26","2","8.66","9","4","1","0","0"
"","","Auqib Nabi","2","0","23","0","11.5","6","2","2","0","0"
"","","L Ngidi","3.4","0","27","3","7.36","10","5","0","0","0"
"","","AR Patel","4","0","38","1","9.5","8","0","4","0","0"
"","","M Tiwari","2","0","20","0","10","3","1","1","3","0"
"","","Kuldeep Yadav","4","0","29","3","7.25","9","3","0","1","0"
"","","Mohammed Siraj","3","0","46","0","15.33","4","7","2","0","0"
"","","K Rabada","4","0","54","2","13.5","8","6","4","0","0"
"","","JO Holder","4","0","39","2","9.75","5","3","1","0","0"
"","","Rashid Khan","3","0","29","0","9.66","4","0","3","0","0"
"","","M Prasidh Krishna","4","0","53","1","13.25","4","4","3","2","0"
"","","K Khejroliya","2","0","31","0","15.5","3","4","1","1","2"
"","","JA Duffy","4","0","39","3","9.75","12","5","2","1","0"
"","","B Kumar","4","0","28","2","7","14","4","1","1","0"
"","","JR Hazlewood","4","0","39","1","9.75","13","6","2","0","0"
"","","Rasikh Salam","3","1","24","2","8","10","2","1","3","1"
"","","KH Pandya","3.3","0","16","2","4.57","12","2","0","1","0"
"","","R Shepherd","1","0","15","0","15","2","2","1","0","0"
"","","PJ Cummins","4","0","64","0","16","3","4","5","1","0"
"","","E Malinga","4","0","40","1","10","9","6","1","1","0"
"","","Sakib Hussain","4","0","52","0","13","7","3","5","0","0"
"","","PP Hinge","4","0","54","3","13.5","9","5","4","1","1"
"","","Shivang Kumar","2","0","19","1","9.5","3","0","2","0","0"
"","","K Nitish Kumar Reddy","2","0","12","1","6","7","2","0","0","0"
"","","JC Archer","4","0","58","3","14.5","8","8","3","1","0"
"","","N Burger","3","0","26","2","8.66","10","2","1","2","0"
"","","Brijesh Sharma","3","0","31","0","10.33","5","3","1","1","1"
"","","Yash Raj Punja","4","0","39","1","9.75","6","1","3","2","0"
"","","SS Mishra","2.2","0","21","2","9","5","2","0","3","0"
"","","RA Jadeja","3","0","21","2","7","5","0","1","2","0"
"","","Mohammed Siraj","4","0","42","1","10.5","10","5","1","1","0"
"","","K Rabada","4","0","35","2","8.75","10","3","2","0","0"
"","","M Prasidh Krishna","4","0","42","1","10.5","8","5","2","0","0"
"","","Washington Sundar","2","0","23","0","11.5","0","0","2","0","0"
"","","JO Holder","4","0","27","2","6.75","14","3","1","1","0"
"","","Rashid Khan","2","0","45","0","22.5","1","1","6","0","0"
"","","JC Archer","4","0","45","1","11.25","6","7","1","1","0"
"","","N Burger","4","0","35","1","8.75","7","3","0","3","0"
"","","Brijesh Sharma","3.4","0","44","1","12","6","6","1","3","0"
"","","TU Deshpande","3","0","34","0","11.33","4","5","1","0","0"
"","","Yash Raj Punja","2","0","29","0","14.5","2","4","1","0","0"
"","","RA Jadeja","2","0","28","0","14","0","2","2","0","0"
"","","JA Duffy","4","0","38","0","9.5","6","4","1","3","0"
"","","B Kumar","4","0","29","2","7.25","11","4","0","0","0"
"","","JR Hazlewood","4","0","37","2","9.25","7","6","0","1","0"
